User_ID,Timestamp,Destination,Duration_Days,Travelers_Count,Budget_Allocated,Review_Text,Sentiment_Label,Polarity_Score
USR-0767,2025-01-01 12:36:00,Tokyo,8,8,4342.14,The heritage walk in Tokyo combined with AR guides was next-level tourism.,Positive,0.7027
USR-1025,2025-01-03 03:02:24,Abu Dhabi,6,4,1870.16,"Abu Dhabi was okay overall. Some attractions were great, others were average.",Neutral,-0.1752
USR-0668,2025-01-05 00:50:45,Abu Dhabi,2,2,762.31,Language barrier issues in Abu Dhabi despite the AI translator app promising full coverage.,Negative,-0.8077
USR-1102,2025-01-05 09:13:58,Bangkok,10,5,2338.56,Our trip to Bangkok was seamless. Loved the eco-friendly pod shuttles.,Positive,0.2587
USR-0635,2025-01-05 23:00:11,Madurai,2,1,193.64,Madurai has potential but the smart city rollout still feels incomplete.,Neutral,-0.1519
USR-0007,2025-01-06 01:08:44,Dubai,10,5,2955.62,Dubai was overpriced for what it offered. Not worth the luxury tier budget.,Negative,-0.514
USR-0639,2025-01-06 03:15:47,Tokyo,8,1,2677.87,Brilliant night-life in Tokyo. The city grid lighting was mesmerising.,Positive,0.8243
USR-0682,2025-01-06 06:09:10,Dubai,3,5,1060.25,The heritage walk in Dubai combined with AR guides was next-level tourism.,Positive,0.4432
USR-0354,2025-01-06 23:17:51,Abu Dhabi,7,1,2806.18,Abu Dhabi exceeded every expectation. The AI concierge recommendations were spot-on.,Positive,0.8907
USR-0825,2025-01-07 04:33:22,Bangkok,9,8,1086.63,A decent trip to Bangkok. Nothing extraordinary but no major complaints.,Neutral,-0.1716
USR-0775,2025-01-08 05:07:16,Abu Dhabi,9,8,1269.99,"Abu Dhabi was okay overall. Some attractions were great, others were average.",Neutral,-0.112
USR-0898,2025-01-09 20:25:47,Abu Dhabi,6,8,1609.89,Stunning waterfront views in Abu Dhabi. The smart park technology was a highlight!,Positive,0.4426
USR-0640,2025-01-10 04:55:05,Abu Dhabi,9,7,2987.6,Absolutely loved the Abu Dhabi experience! The smart city infrastructure was incredible.,Positive,0.4423
USR-0936,2025-01-10 14:28:40,Abu Dhabi,5,8,1381.33,The hotel in Abu Dhabi was nothing like the virtual tour preview. Very misleading.,Negative,-0.8709
USR-0166,2025-01-10 19:51:11,Singapore,2,6,473.47,Singapore has potential but the smart city rollout still feels incomplete.,Neutral,0.0383
USR-0796,2025-01-11 17:07:41,Singapore,1,2,162.64,Stunning waterfront views in Singapore. The smart park technology was a highlight!,Positive,0.9183
USR-0308,2025-01-12 13:00:59,Bangkok,1,3,171.61,Our trip to Bangkok was seamless. Loved the eco-friendly pod shuttles.,Positive,0.633
USR-0619,2025-01-12 21:50:27,Singapore,6,5,2114.43,Mixed feelings about Singapore. The tech was impressive but the food was mediocre.,Neutral,0.1864
USR-0251,2025-01-12 22:05:59,Abu Dhabi,2,8,544.37,"Visited Abu Dhabi for 3 days. Some good moments, some forgettable ones.",Neutral,-0.0582
USR-0309,2025-01-13 06:10:50,Kuala Lumpur,4,6,779.04,Mixed feelings about Kuala Lumpur. The tech was impressive but the food was mediocre.,Neutral,-0.0642
USR-0627,2025-01-13 14:21:39,Singapore,4,3,1232.92,Stunning waterfront views in Singapore. The smart park technology was a highlight!,Positive,0.7909
USR-1127,2025-01-14 02:52:13,Dubai,7,6,2455.52,Dubai has potential but the smart city rollout still feels incomplete.,Neutral,0.1078
